team1,team2,team3,vault,foul,total
176,230,5129,20,0,413
5856,177,5142,20,10,283
176,230,5129,25,25,389
5856,177,5142,45,0,350
176,230,5129,40,0,443
999,237,4055,30,0,304
176,230,5129,25,50,433
999,237,4055,30,30,331
558,3461,4097,45,25,458
2067,4557,3464,45,10,319
558,3461,4097,35,5,400
2067,4557,3464,45,10,299
236,3314,1676,25,10,426
571,228,1099,25,10,213
236,3314,1676,15,5,303
571,228,1099,45,25,365
236,3314,1676,30,50,491
571,228,1099,40,45,340
5856,177,5142,30,10,391
181,1699,2170,45,10,328
5856,177,5142,30,10,263
181,1699,2170,40,10,273
5856,177,5142,30,0,366
181,1699,2170,35,5,292
7266,2170,230,35,25,421
4572,558,501,5,0,201
3464,4097,177,15,0,253
3182,2067,4055,45,5,296
1699,3314,230,5,55,305
1676,4557,228,40,0,302
177,4055,3461,40,5,417
236,571,1124,5,25,122
1676,176,6723,0,0,310
4572,7266,5856,0,60,231
237,3464,5142,40,50,282
3525,5129,4557,40,25,314
501,999,4097,15,35,193
3314,2067,558,25,5,310
1699,1099,1085,15,10,252
3182,181,2170,15,5,81
7266,571,2067,15,35,215
236,3464,3314,15,5,382
228,3182,3461,30,30,393
237,2170,4572,5,25,214
1699,999,4055,20,20,195
181,4097,5129,10,30,232
5142,6723,999,15,10,221
5856,237,1699,40,0,346
1085,4557,177,45,5,456
3525,5856,176,30,30,283
1676,230,1099,20,10,276
558,5142,1124,0,0,184
6723,4572,236,15,35,300
571,501,4557,40,0,341
181,3464,999,25,35,189
1099,177,3182,20,40,379
3314,4055,2170,15,0,272
176,1085,237,25,10,324
228,4097,7266,0,90,150
5142,1699,3461,45,0,459
5856,5129,501,10,5,107
230,2067,1676,25,15,304
558,1699,3525,35,0,255
6723,3314,1124,10,0,207
237,571,3182,40,140,300
230,4055,5142,20,25,496
4557,4572,4097,45,45,291
5856,1099,558,40,0,393
236,1676,3525,0,25,192
176,3182,4097,10,5,233
176,7266,3464,15,30,347
5129,999,1085,0,0,55
181,501,1676,10,0,197
6723,177,228,45,25,437
2170,3525,2067,20,30,168
1124,3461,236,25,0,416
5129,6723,237,35,90,230
176,571,230,45,0,536
4055,5856,4557,45,5,325
1099,7266,3314,25,30,309
1676,3182,5142,15,10,189
2067,3461,181,45,5,370
4097,558,236,45,25,455
3464,501,1085,5,35,102
1699,228,4572,45,50,355
3525,1124,999,5,0,156
177,558,7266,45,0,300
2170,236,1099,10,5,263
3182,3525,501,20,25,170
999,228,571,45,5,398
571,177,5129,0,25,193
4557,3314,3461,30,0,275
3314,237,181,45,0,465
4572,1676,3464,15,35,125
2170,1085,6723,25,0,306
5129,5142,2067,15,25,159
3461,230,5856,35,0,377
177,176,1699,10,50,243
1124,4557,2170,45,0,314
4055,4097,1676,25,20,316
5142,4572,1099,0,180,202
230,236,181,45,55,587
1085,3461,4097,15,5,339
4557,6723,1699,45,30,285
501,7266,4055,5,0,93
237,3525,177,40,0,359
1124,5129,176,20,40,290
999,3314,3182,20,5,348
558,5856,571,40,0,369
2067,228,3464,40,0,291
3182,4557,236,45,5,459
7266,1085,3525,0,55,97
1085,2067,1124,0,0,222
1099,4055,228,20,5,301
3461,2170,571,40,5,379
999,1676,5856,30,5,238
3314,176,228,45,0,430
4055,6723,181,20,35,215
5129,1699,3464,15,15,242
2067,177,4572,30,10,342
501,237,230,40,85,383
4097,1124,1099,20,5,299
558,3182,5129,15,15,140
5142,5856,3314,35,5,292
2067,176,501,35,0,454
4055,1085,4572,5,40,113
3461,237,1676,40,65,393
230,3464,4557,45,25,466
3525,1099,6723,15,5,230
177,5142,2170,30,5,403
1124,181,7266,20,10,226
4097,1699,571,0,5,251
999,236,2067,25,0,365
228,558,237,35,5,275
181,5142,176,20,10,354
3464,2170,558,35,0,105
571,4572,3314,25,5,251
4097,3525,5142,5,25,189
5856,181,177,45,0,427
501,236,1699,45,25,224
4557,1099,176,45,85,352
2170,228,5129,45,15,395
3464,1124,4055,20,55,159
6723,230,3182,45,0,473
1085,1676,558,30,25,220
7266,3461,999,45,5,438
1099,999,237,45,0,383
3461,501,6723,45,0,142
228,1124,5856,30,0,404
236,5129,7266,0,25,109
4572,230,3525,30,5,404
571,181,1085,15,0,215
176,230,5129,40,10,415
558,3461,4097,30,0,298
176,230,5129,45,5,525
558,3461,4097,5,80,154
236,3314,1676,20,5,328
5856,177,5142,30,0,355
236,3314,1676,25,25,243
5856,177,5142,40,0,438
